머리,가슴,다리,손,발,방어력,힘,민첩,지능,의지,크리티컬 저항,스태미나,세트보너스 방어력,세트보너스 힘
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,헤레몬 건틀릿,스켈레톤 부츠,5228,723,302,69,252,79,5,202,68
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,헤레몬 건틀릿,+3 수호의 레지나 웰링턴 부츠,5642,738,296,236,250,76,0,202,68
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,아마겟돈 스케일 건틀릿,블랙펄 부츠,5324,739,283,58,238,74,0,222,92
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,아마겟돈 스케일 건틀릿,노블레스 부츠,5420,823,282,60,238,76,0,392,143
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,아마겟돈 스케일 건틀릿,헤레몬 부츠,5218,737,286,59,241,75,0,202,68
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,아마겟돈 스케일 건틀릿,아마겟돈 스케일 부츠,5393,802,274,49,232,73,0,337,128
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,아마겟돈 스케일 건틀릿,스켈레톤 부츠,5268,726,289,59,244,75,5,202,68
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,아마겟돈 스케일 건틀릿,+3 수호의 레지나 웰링턴 부츠,5682,741,283,226,242,72,0,202,68
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,스켈레톤 건틀릿,블랙펄 부츠,5235,724,298,68,248,76,5,222,92
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,스켈레톤 건틀릿,노블레스 부츠,5331,808,297,70,248,78,5,392,143
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,스켈레톤 건틀릿,헤레몬 부츠,5129,722,301,69,251,77,5,202,68
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,스켈레톤 건틀릿,아마겟돈 스케일 부츠,5169,727,289,59,242,75,5,202,68
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,스켈레톤 건틀릿,스켈레톤 부츠,5370,786,304,69,254,77,10,393,143
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,스켈레톤 건틀릿,+3 수호의 레지나 웰링턴 부츠,5593,726,298,236,252,74,5,202,68
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,+3 레지나 글로브,블랙펄 부츠,5535,735,299,236,261,74,0,222,92
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,+3 레지나 글로브,노블레스 부츠,5631,819,298,238,261,76,0,392,143
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,+3 레지나 글로브,헤레몬 부츠,5429,733,302,237,264,75,0,202,68
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,+3 레지나 글로브,아마겟돈 스케일 부츠,5469,738,290,227,255,73,0,202,68
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,+3 레지나 글로브,스켈레톤 부츠,5479,722,305,237,267,75,5,202,68
블랙펄 헬름,블랙펄 메일,노블레스 그리브즈,+3 레지나 글로브,+3 수호의 레지나 웰링턴 부츠,6003,777,299,404,265,72,0,312,108
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,블랙펄 건틀릿,블랙펄 부츠,5350,732,299,66,200,76,0,297,120
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,블랙펄 건틀릿,노블레스 부츠,5201,737,298,68,200,78,0,222,92
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,블랙펄 건틀릿,헤레몬 부츠,5385,799,302,67,203,77,0,418,165
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,블랙펄 건틀릿,아마겟돈 스케일 부츠,5229,731,290,57,194,75,0,222,92
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,블랙펄 건틀릿,스켈레톤 부츠,5239,715,305,67,206,77,5,222,92
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,블랙펄 건틀릿,+3 수호의 레지나 웰링턴 부츠,5653,730,299,234,204,74,0,222,92
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,노블레스 건틀릿,블랙펄 부츠,5282,736,297,68,249,79,0,222,92
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,노블레스 건틀릿,노블레스 부츠,5378,820,296,70,249,81,0,392,143
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,노블레스 건틀릿,헤레몬 부츠,5372,807,300,69,252,80,0,398,141
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,노블레스 건틀릿,아마겟돈 스케일 부츠,5216,739,288,59,243,78,0,202,68
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,노블레스 건틀릿,스켈레톤 부츠,5226,723,303,69,255,80,5,202,68
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,노블레스 건틀릿,+3 수호의 레지나 웰링턴 부츠,5640,738,297,236,253,77,0,202,68
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,헤레몬 건틀릿,블랙펄 부츠,5489,800,303,67,241,79,0,418,165
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,헤레몬 건틀릿,노블레스 부츠,5395,809,302,69,241,81,0,398,141
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,헤레몬 건틀릿,헤레몬 부츠,5402,825,306,68,244,80,0,417,168
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,헤레몬 건틀릿,아마겟돈 스케일 부츠,5423,803,294,58,235,78,0,398,141
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,헤레몬 건틀릿,스켈레톤 부츠,5433,787,309,68,247,80,5,398,141
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,헤레몬 건틀릿,+3 수호의 레지나 웰링턴 부츠,5847,802,303,235,245,77,0,398,141
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,아마겟돈 스케일 건틀릿,블랙펄 부츠,5333,730,290,57,233,75,0,222,92
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,아마겟돈 스케일 건틀릿,노블레스 부츠,5239,739,289,59,233,77,0,202,68
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,아마겟돈 스케일 건틀릿,헤레몬 부츠,5423,801,293,58,236,76,0,398,141
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,아마겟돈 스케일 건틀릿,아마겟돈 스케일 부츠,5402,793,281,48,227,74,0,337,128
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,아마겟돈 스케일 건틀릿,스켈레톤 부츠,5277,717,296,58,239,76,5,202,68
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,아마겟돈 스케일 건틀릿,+3 수호의 레지나 웰링턴 부츠,5691,732,290,225,237,73,0,202,68
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,스켈레톤 건틀릿,블랙펄 부츠,5244,715,305,67,243,77,5,222,92
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,스켈레톤 건틀릿,노블레스 부츠,5150,724,304,69,243,79,5,202,68
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,스켈레톤 건틀릿,헤레몬 부츠,5334,786,308,68,246,78,5,398,141
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,스켈레톤 건틀릿,아마겟돈 스케일 부츠,5178,718,296,58,237,76,5,202,68
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,스켈레톤 건틀릿,스켈레톤 부츠,5379,777,311,68,249,78,10,393,143
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,스켈레톤 건틀릿,+3 수호의 레지나 웰링턴 부츠,5602,717,305,235,247,75,5,202,68
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,+3 레지나 글로브,블랙펄 부츠,5544,726,306,235,256,75,0,222,92
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,+3 레지나 글로브,노블레스 부츠,5450,735,305,237,256,77,0,202,68
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,+3 레지나 글로브,헤레몬 부츠,5634,797,309,236,259,76,0,398,141
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,+3 레지나 글로브,아마겟돈 스케일 부츠,5478,729,297,226,250,74,0,202,68
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,+3 레지나 글로브,스켈레톤 부츠,5488,713,312,236,262,76,5,202,68
블랙펄 헬름,블랙펄 메일,헤레몬 그리브즈,+3 레지나 글로브,+3 수호의 레지나 웰링턴 부츠,6012,768,306,403,260,73,0,312,108
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,블랙펄 건틀릿,블랙펄 부츠,5390,735,282,56,192,73,0,297,120
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,블랙펄 건틀릿,노블레스 부츠,5241,740,281,58,192,75,0,222,92
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,블랙펄 건틀릿,헤레몬 부츠,5229,729,285,57,195,74,0,222,92
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,블랙펄 건틀릿,아마겟돈 스케일 부츠,5404,794,273,47,186,72,0,357,152
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,블랙펄 건틀릿,스켈레톤 부츠,5279,718,288,57,198,74,5,222,92
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,블랙펄 건틀릿,+3 수호의 레지나 웰링턴 부츠,5693,733,282,224,196,71,0,222,92
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,노블레스 건틀릿,블랙펄 부츠,5322,739,280,58,241,76,0,222,92
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,노블레스 건틀릿,노블레스 부츠,5418,823,279,60,241,78,0,392,143
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,노블레스 건틀릿,헤레몬 부츠,5216,737,283,59,244,77,0,202,68
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,노블레스 건틀릿,아마겟돈 스케일 부츠,5391,802,271,49,235,75,0,337,128
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,노블레스 건틀릿,스켈레톤 부츠,5266,726,286,59,247,77,5,202,68
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,노블레스 건틀릿,+3 수호의 레지나 웰링턴 부츠,5680,741,280,226,245,74,0,202,68
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,헤레몬 건틀릿,블랙펄 부츠,5333,730,286,57,233,76,0,222,92
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,헤레몬 건틀릿,노블레스 부츠,5239,739,285,59,233,78,0,202,68
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,헤레몬 건틀릿,헤레몬 부츠,5423,801,289,58,236,77,0,398,141
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,헤레몬 건틀릿,아마겟돈 스케일 부츠,5402,793,277,48,227,75,0,337,128
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,헤레몬 건틀릿,스켈레톤 부츠,5277,717,292,58,239,77,5,202,68
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,헤레몬 건틀릿,+3 수호의 레지나 웰링턴 부츠,5691,732,286,225,237,74,0,202,68
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,아마겟돈 스케일 건틀릿,블랙펄 부츠,5508,793,273,47,225,72,0,357,152
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,아마겟돈 스케일 건틀릿,노블레스 부츠,5414,802,272,49,225,74,0,337,128
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,아마겟돈 스케일 건틀릿,헤레몬 부츠,5402,791,276,48,228,73,0,337,128
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,아마겟돈 스케일 건틀릿,아마겟돈 스케일 부츠,5517,826,264,38,219,71,0,412,158
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,아마겟돈 스케일 건틀릿,스켈레톤 부츠,5452,780,279,48,231,73,5,337,128
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,아마겟돈 스케일 건틀릿,+3 수호의 레지나 웰링턴 부츠,5866,795,273,215,229,70,0,337,128
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,스켈레톤 건틀릿,블랙펄 부츠,5284,718,288,57,235,74,5,222,92
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,스켈레톤 건틀릿,노블레스 부츠,5190,727,287,59,235,76,5,202,68
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,스켈레톤 건틀릿,헤레몬 부츠,5178,716,291,58,238,75,5,202,68
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,스켈레톤 건틀릿,아마겟돈 스케일 부츠,5353,781,279,48,229,73,5,337,128
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,스켈레톤 건틀릿,스켈레톤 부츠,5419,780,294,58,241,75,10,393,143
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,스켈레톤 건틀릿,+3 수호의 레지나 웰링턴 부츠,5642,720,288,225,239,72,5,202,68
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,+3 레지나 글로브,블랙펄 부츠,5584,729,289,225,248,72,0,222,92
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,+3 레지나 글로브,노블레스 부츠,5490,738,288,227,248,74,0,202,68
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,+3 레지나 글로브,헤레몬 부츠,5478,727,292,226,251,73,0,202,68
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,+3 레지나 글로브,아마겟돈 스케일 부츠,5653,792,280,216,242,71,0,337,128
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,+3 레지나 글로브,스켈레톤 부츠,5528,716,295,226,254,73,5,202,68
블랙펄 헬름,블랙펄 메일,아마겟돈 스케일 그리브즈,+3 레지나 글로브,+3 수호의 레지나 웰링턴 부츠,6052,771,289,393,252,70,0,312,108
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,블랙펄 건틀릿,블랙펄 부츠,5355,718,296,66,202,75,7,297,120
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,블랙펄 건틀릿,노블레스 부츠,5206,723,295,68,202,77,7,222,92
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,블랙펄 건틀릿,헤레몬 부츠,5194,712,299,67,205,76,7,222,92
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,블랙펄 건틀릿,아마겟돈 스케일 부츠,5234,717,287,57,196,74,7,222,92
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,블랙펄 건틀릿,스켈레톤 부츠,5435,776,302,67,208,76,12,413,167
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,블랙펄 건틀릿,+3 수호의 레지나 웰링턴 부츠,5658,716,296,234,206,73,7,222,92
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,노블레스 건틀릿,블랙펄 부츠,5287,722,294,68,251,78,7,222,92
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,노블레스 건틀릿,노블레스 부츠,5383,806,293,70,251,80,7,392,143
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,노블레스 건틀릿,헤레몬 부츠,5181,720,297,69,254,79,7,202,68
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,노블레스 건틀릿,아마겟돈 스케일 부츠,5221,725,285,59,245,77,7,202,68
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,노블레스 건틀릿,스켈레톤 부츠,5422,784,300,69,257,79,12,393,143
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,노블레스 건틀릿,+3 수호의 레지나 웰링턴 부츠,5645,724,294,236,255,76,7,202,68
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,헤레몬 건틀릿,블랙펄 부츠,5298,713,300,67,243,78,7,222,92
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,헤레몬 건틀릿,노블레스 부츠,5204,722,299,69,243,80,7,202,68
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,헤레몬 건틀릿,헤레몬 부츠,5388,784,303,68,246,79,7,398,141
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,헤레몬 건틀릿,아마겟돈 스케일 부츠,5232,716,291,58,237,77,7,202,68
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,헤레몬 건틀릿,스켈레톤 부츠,5433,775,306,68,249,79,12,393,143
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,헤레몬 건틀릿,+3 수호의 레지나 웰링턴 부츠,5656,715,300,235,247,76,7,202,68
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,아마겟돈 스케일 건틀릿,블랙펄 부츠,5338,716,287,57,235,74,7,222,92
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,아마겟돈 스케일 건틀릿,노블레스 부츠,5244,725,286,59,235,76,7,202,68
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,아마겟돈 스케일 건틀릿,헤레몬 부츠,5232,714,290,58,238,75,7,202,68
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,아마겟돈 스케일 건틀릿,아마겟돈 스케일 부츠,5407,779,278,48,229,73,7,337,128
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,아마겟돈 스케일 건틀릿,스켈레톤 부츠,5473,778,293,58,241,75,12,393,143
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,아마겟돈 스케일 건틀릿,+3 수호의 레지나 웰링턴 부츠,5696,718,287,225,239,72,7,202,68
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,스켈레톤 건틀릿,블랙펄 부츠,5440,776,302,67,245,76,12,413,167
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,스켈레톤 건틀릿,노블레스 부츠,5346,785,301,69,245,78,12,393,143
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,스켈레톤 건틀릿,헤레몬 부츠,5334,774,305,68,248,77,12,393,143
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,스켈레톤 건틀릿,아마겟돈 스케일 부츠,5374,779,293,58,239,75,12,393,143
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,스켈레톤 건틀릿,스켈레톤 부츠,5409,791,308,68,251,77,17,418,171
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,스켈레톤 건틀릿,+3 수호의 레지나 웰링턴 부츠,5798,778,302,235,249,74,12,393,143
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,+3 레지나 글로브,블랙펄 부츠,5549,712,303,235,258,74,7,222,92
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,+3 레지나 글로브,노블레스 부츠,5455,721,302,237,258,76,7,202,68
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,+3 레지나 글로브,헤레몬 부츠,5443,710,306,236,261,75,7,202,68
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,+3 레지나 글로브,아마겟돈 스케일 부츠,5483,715,294,226,252,73,7,202,68
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,+3 레지나 글로브,스켈레톤 부츠,5684,774,309,236,264,75,12,393,143
블랙펄 헬름,블랙펄 메일,스켈레톤 그리브즈,+3 레지나 글로브,+3 수호의 레지나 웰링턴 부츠,6017,754,303,403,262,72,7,312,108
블랙펄 헬름,블랙펄 메일,+3 레지나 숏 스커트,블랙펄 건틀릿,블랙펄 부츠,5652,722,306,235,212,76,0,297,120
